Мы обострили внимание на этой важной проблеме. (заменить)|заострили
Этот фильм смог произвести огромное влияние на молодежь. (заменить)|оказать
Мудрый человек всегда умеет извлекать ценный опыт из ошибок. (заменить)|уроки
На олимпиаде наш бегун завоевал новый мировой рекорд. (заменить)|установил
В суде прокурор высказал неопровержимые доказательства. (заменить)|привел
Опытный хирург успешно сделал сложнейшую операцию. (заменить)|провел
Новая выставка картин получила огромный интерес у посетителей. (заменить)|вызвала
Этот проект полностью отвечает нуждам строгих стандартов. (заменить)|требованиям
Завод планирует существенно расширить выпуск автомобилей. (заменить)|увеличить
Эта неожиданная встреча имела на меня сильное впечатление. (заменить)|произвела
Командир отряда принял решение совершить наступление. (заменить)|начать
Рассказ ветерана нанес на школьников неизгладимое впечатление. (заменить)|произвел
Каждый гражданин обязан строго выполнять законы страны. (заменить)|соблюдать
На собрании директор смог занять свое мнение по вопросу. (заменить)|высказать
Наша сборная надеется занять первое первенство. (заменить)|место
Новый указ президента вступит в законную силу завтра. (заменить)|юридическую
Докладчик уделил первостепенное значение экологии. (заменить)|внимание
Судья был вынужден наложить строгое наказание на вора. (заменить)|назначить
Мы должны придать серьезное внимание этой проблеме. (заменить)|уделить
Известный ученый сделал интересную лекцию для студентов. (заменить)|прочитал
Следствие сделало всё, чтобы обнаружить истину. (заменить)|установить
За боевые заслуги ветерану решили воздвигнуть орден. (заменить)|вручить
Этот благородный человек совершил смелое действие. (заменить)|поступок
Футболисты сделают всё, чтобы завоевать победу в матче. (заменить)|одержать
Руководство пытается сделать шаги для выхода из кризиса. (заменить)|предпринять
Наводнение нанесло колоссальный ущерб сельскому хозяйству. (заменить)|причинило
Оскорбительное замечание нанесло глубокую обиду девушке. (заменить)|причинило
Веселое представление причинило зрителям много радости. (заменить)|доставило
Чтение классики помогает эффективно развивать кругозор. (заменить)|расширять
Мы хотим сделать искреннюю благодарность за помощь. (заменить)|выразить
На банкете гости подняли торжественный тост за юбиляра. (заменить)|произнесли
Защитники крепости смогли оказать мужественный отпор. (заменить)|дать
В магазине продавались товары по самым дешевым ценам. (заменить)|низким
После тяжелой аварии водитель долго шел на выздоровление. (заменить)|поправку
Автор статьи допустил глубокую ошибку в расчетах. (заменить)|грубую
Эта книга имеет важную роль для понимания истории. (заменить)|играет
Для решения проблемы нужно предпринять срочные меры. (заменить)|принять
Наш спортсмен сумел одержать убедительную победу. (заменить)|завоевать
В упорной борьбе команда заняла долгожданную победу. (заменить)|одержала
Мы пришли, чтобы сделать дань уважения ветеранам. (заменить)|отдать
В своем выступлении оратор высказал много аргументов. (заменить)|привел
Новые законы призваны улучшить уровень жизни людей. (заменить)|повысить
Туристы решили совершить краткий визит в музей. (заменить)|нанести
Это радостное известие причинило нам много восторга. (заменить)|доставило
Своевременный совет нанес молодому человеку большую пользу. (заменить)|принес
В финальном матче гроссмейстер испытал тяжелое поражение. (заменить)|потерпел
Посещение музеев помогает значительно повысить кругозор. (заменить)|расширить
Директор поспешил выразить приятный комплимент секретарю. (заменить)|сделать
На семейном торжестве отец решил сделать первый тост. (заменить)|произнести
Этот отважный спасатель сделал настоящий подвиг. (заменить)|совершил
Большая половина класса успешно справилась с диктантом. (заменить)|часть
Председатель уделил серьезное значение вопросам дисциплины. (заменить)|внимание
Художник придаёт большое внимание мелким деталям пейзажа. (заменить)|значение
Из-за сильного тумана рейс перенесли на неопределенное время. (заменить)|срок
В центре площади возвели прекрасный монумент. (заменить)|воздвигли
За время учебы между студентами завязалось знакомство. (заменить)|дружба
Эта шестеренка играет важную функцию в часах. (заменить)|выполняет
В экономике страны внезапно возник глубокий регресс. (заменить)|наступил
Современные методы помогают улучшить урожайность полей. (заменить)|повысить
Этот документ имеет выдающуюся роль в науке. (заменить)|играет
Парламент собрался, чтобы основать новый закон. (заменить)|принять
Перед подвигом героев мы преклоняем свои головы. (заменить)|склоняем
Спортсмен тренировался, чтобы одержать абсолютное лидерство. (заменить)|завоевать
Наша фирма смогла одержать долгожданный успех. (заменить)|добиться
Забавный котенок причинил детям искреннюю радость. (заменить)|доставил
Твой необдуманный поступок может сделать вред природе. (заменить)|нанести
Учитель старался уделить максимум значения ученикам. (заменить)|внимания
Родители должны неустанно обращать заботу о детях. (заменить)|проявлять
Новый сотрудник быстро смог занять авторитет. (заменить)|завоевать
Постановление должно вступить в законную силу весной. (заменить)|юридическую
В этом принципиальном споре добро одержит верх. (заменить)|возьмет
После первой же неудачи не стоит вешать голову. (заменить)|нос
Мальчик кричал во все горло, звая на помощь. (заменить)|голос
Эти обещания не стоят выеденного гроша. (заменить)|яйца
Твой давний враг до сих пор точит на тебя обиду. (заменить)|зуб
Чтобы исправить ситуацию, нужно взять быка за хвост. (заменить)|рога
Завистники постоянно вставляли палки в наши дела. (заменить)|колеса
В лесу нужно быть начеку и держать ухо открытым. (заменить)|востро
Лицемер горько проливал крокодиловы чувства. (заменить)|слезы
Этот богатый купец привык жить на широкую руку. (заменить)|ногу
Доверчивый клиент опять купил кота в пакете. (заменить)|мешке
После неудачи капитан решил умывать лицо. (заменить)|руки
Хватит ходить вокруг да сторон, переходи к сути. (заменить)|около
Не стоит преувеличивать и делать из мухи комара. (заменить)|слона
Спортсмен бежал к финишу сломя ноги. (заменить)|голову
Школьник делал уроки спустя пальцы. (заменить)|рукава
Перестань тянуть собаку за хвост, отвечай прямо. (заменить)|кота
Своей глупой критикой он только подлил бензина в огонь. (заменить)|масла
Эти два бездельника были одного поля овощи. (заменить)|ягода
Наша корпорация смогла заключить новые рубежи. (заменить)|завоевать
Режиссер произвел огромное влияние на кинематограф. (заменить)|оказал
Ошибки помогают нам извлекать жизненный опыт. (заменить)|уроки
На чемпионате атлет завоевал мировой рекорд. (заменить)|установил
Прокурор высказал весомые доказательства вины. (заменить)|привел
Хирург успешно сделал операцию на сердце. (заменить)|провел
Новая пьеса получила большой интерес у зрителей. (заменить)|вызвала
Проект полностью отвечает нуждам стандартов качества. (заменить)|требованиям
Предприятие хочет расширить выпуск продукции. (заменить)|увеличить
Эта встреча имела на меня неизгладимое впечатление. (заменить)|произвела
Командование решило совершить масштабное наступление. (заменить)|начать
Рассказ моряка нанес на детей сильное впечатление. (заменить)|произвел
Все граждане обязаны выполнять законы государства. (заменить)|соблюдать
На совете каждый смог занять свое мнение. (заменить)|высказать
Наша команда мечтает занять первое первенство. (заменить)|место
Указ вступит в законную силу через три дня. (заменить)|юридическую
Лектор уделилское значение технике безопасности. (заменить)|внимание
Судья наложил суровое наказание на преступника. (заменить)|назначил
Мы должны придать серьезное внимание деталям. (заменить)|уделить
Профессор сделал блестящую лекцию по физике. (заменить)|прочитал
Следователь смог быстро обнаружить истину. (заменить)|установить
За успехи ученому решили воздвигнуть премию. (заменить)|вручить
Этот парень совершил благородное действие. (заменить)|поступок
Футболисты мечтают завоевать победу в кубке. (заменить)|одержать
Директор делает шаги для модернизации завода. (заменить)|предпринимает
Ураган нанес огромный ущерб городскому парку. (заменить)|причинил
Твое поведение нанесло глубокую обиду матери. (заменить)|причинила
Праздник причинил детям много ярких эмоций. (заменить)|доставило
Общение с умными людьми развивает кругозор. (заменить)|расширяет
Позвольте сделать вам глубокую благодарность. (заменить)|выразить
В конце ужина гости подняли тост за хозяйку. (заменить)|произнесли
Солдаты смогли оказать мощный отпор врагу. (заменить)|дать
На рынке были выставлены товары по дешевым ценам. (заменить)|низким
После долгого лечения пациент пошел на выздоровление. (заменить)|поправку
Инженер допустил глубокую ошибку в чертежах. (заменить)|грубую
Данный фактор имеет важную роль в эксперименте. (заменить)|играет
Необходимо предпринять решительные меры против кризиса. (заменить)|принять
Сборная сумела одержать уверенное первенство. (заменить)|победу
В тяжелой борьбе боксер занял победу. (заменить)|одержал
Мы пришли сделать дань памяти павшим воинам. (заменить)|отдать
В докладе автор высказал убедительные аргументы. (заменить)|привел
Реформы помогли значительно уровень жизни. (заменить)|повысить
Делегация решила совершить официальный визит. (заменить)|нанести
Это событие причинило нам много радостных минут. (заменить)|доставило
Хорошее воспитание нанесло ребенку большую пользу. (заменить)|принесло
В финале шахматист испытал сокрушительное поражение. (заменить)|потерпел
Новые книги помогают повысить кругозор читателей. (заменить)|расширить
Начальник выразил комплимент молодому специалисту. (заменить)|сделал
На свадьбе свидетель поспешил сделать первый тост. (заменить)|произнести
Воин сделал великий подвиг, спасая товарища. (заменить)|совершил
Большая половина группы сдала зачет вовремя. (заменить)|часть
Руководитель уделил пристальное значение деталям. (заменить)|внимание
Поэт придаёт огромное внимание описанию природы. (заменить)|значение
Из-за метели вылет отложили на неопределенное время. (заменить)|срок
В парке возвели прекрасную бронзовую статую. (заменить)|воздвигли
Между соседями сразу завязалось хорошее знакомство. (заменить)|дружба
Эта деталь играет ключевую функцию в приборе. (заменить)|выполняет
В делах фирмы наметился глубокий регресс. (заменить)|наступил
Новые технологии помогают урожай картофеля. (заменить)|повысить
Эта находка имеет неоценимую роль для археологии. (заменить)|играет
Правительство хочет основать новый закон о труде. (заменить)|принять
Перед мужеством солдат мы преклоняем головы. (заменить)|склоняем
Команда сделает всё, чтобы одержать лидерство. (заменить)|завоевать
После долгих трудов ученые одержали успех. (заменить)|добились
Веселая игра причинила котенку много радости. (заменить)|доставила
Этот шаг может сделать большой вред экологии. (заменить)|нанести
Преподаватель уделил максимум значения практике. (заменить)|внимания
Мы должны постоянно обращать заботу о старших. (заменить)|проявлять
Новый закон должен официально встать в силу. (заменить)|вступить
В этом противостоянии наш кандидат одержит верх. (заменить)|возьмет
При первых трудностях не стоит вешать голову. (заменить)|нос
Продавец кричал во все горло, зазывая людей. (заменить)|голос
Все эти старые теории не стоят выеденного гроша. (заменить)|яйца
Обиженный коллега давно точит на тебя обиду. (заменить)|зуб
В сложной ситуации важно взять быка за хвост. (заменить)|рога
Недоброжелатели пытались вставлять палки в наши дела. (заменить)|колеса
На границе нужно всегда держать ухо открытым. (заменить)|востро
Предатель лицемерно проливал крокодиловы чувства. (заменить)|слезы
Этот миллионер привык жить на широкую руку. (заменить)|ногу
Наивный турист снова купил кота в пакете. (заменить)|мешке
После провала директор решил умывать лицо. (заменить)|руки
Перестань ходить вокруг да сторон, скажи правду. (заменить)|около
Не надо драматизировать и делать из мухи комара. (заменить)|слона
Испуганный ребенок бежал домой сломя ноги. (заменить)|голову
Ленивый мастер чинил прибор спустя пальцы. (заменить)|рукава
Хватит тянуть собаку за хвост, давай решим. (заменить)|кота
Своими интригами он только подлил бензина в огонь. (заменить)|масла
Эти два жулика были одного поля овощи. (заменить)|ягода
Наша компания смогла заключить новые рубежи. (заменить)|завоевать
Картина произвела глубокое влияние на искусство. (заменить)|оказала
Жизнь научила меня извлекать опыт из неудач. (заменить)|уроки
На соревнованиях пловец завоевал мировой рекорд. (заменить)|установил
Адвокат высказал веские доказательства невиновности. (заменить)|привел
Врач успешно сделал сложную операцию на глазах. (заменить)|провел
Новая книга получила огромный интерес у читателей. (заменить)|вызвала
Проект полностью отвечает нуждам строгих правил. (заменить)|требованиям
Фабрика планирует расширить выпуск одежды. (заменить)|увеличить
Эта встреча имела на меня неизгладимое впечатление. (заменить)|произвела
Отряд принял решение совершить ночное наступление. (заменить)|начать
Фильм нанес на подростков сильное впечатление. (заменить)|произвел
Граждане должны уважать и выполнять законы. (заменить)|соблюдать
На совете директор смог занять свое мнение. (заменить)|высказать
Наша команда стремится занять первое первенство. (заменить)|место
Важный указ вступит в законную силу в субботу. (заменить)|юридическую
Докладчик уделил большое значение новым фактам. (заменить)|внимание
Судья решил наложить суровое наказание на убийцу. (заменить)|назначить
Мы обязаны придать серьезное внимание обучению. (заменить)|уделить
Лектор сделал отличную лекцию по истории. (заменить)|прочитал
Сыщик сделал всё, чтобы обнаружить истину. (заменить)|установить
За заслуги герою решили воздвигнуть премию. (заменить)|вручить
Этот мальчик совершил очень доброе действие. (заменить)|поступок
Спортсмены сделают всё, чтобы завоевать победу. (заменить)|одержать
Фирма делает решительные шаги для спасения. (заменить)|предпринимает
Пожар нанес огромный ущерб жилому дому. (заменить)|причинил
Твоя грубость нанесла глубокую обиду сестре. (заменить)|причинила
Шоу причинило зрителям массу удовольствия. (заменить)|доставило
Путешествия помогают активно развивать кругозор. (заменить)|расширять
Мы хотим сделать вам искреннюю благодарность. (заменить)|выразить
На празднике все подняли тост за юбиляра. (заменить)|произнесли
Солдаты смогли оказать решительный отпор врагам. (заменить)|дать
На ярмарке продавали овощи по дешевым ценам. (заменить)|низким
После кризиса экономика быстро пошла на выздоровление. (заменить)|поправку
Студент допустил глубокую ошибку в дипломной работе. (заменить)|грубую
Данное обстоятельство имеет важную роль в деле. (заменить)|играет
Нам необходимо предпринять срочные меры контроля. (заменить)|принять
Наша сборная мечтает одержать первое первенство. (заменить)|место
В финальном бою боксер занял уверенную победу. (заменить)|одержала
Мы должны сделать дань уважения старшим. (заменить)|отдать
В выступлении политик высказал много аргументов. (заменить)|привел
Программа призвана улучшить уровень образования. (заменить)|повысить
Директор решил совершить визит в филиал. (заменить)|нанести
Это известие причинило нам много искренней радости. (заменить)|доставило
Спорт нанес здоровью мальчика большую пользу. (заменить)|принес
В матче команда испытала сокрушительное поражение. (заменить)|потерпела
Чтение книг помогает значительно повысить кругозор. (заменить)|расширить
Учитель выразил заслуженный комплимент ученику. (заменить)|сделал
На банкете коллега решил сделать тост. (заменить)|произнести
Этот скромный человек сделал настоящий подвиг. (заменить)|совершил
Большая половина рабочих поддержала реформу. (заменить)|часть
Председатель уделил огромное значение деталям. (заменить)|внимание
Автор придаёт большое внимание судьбе героя. (заменить)|значение
Из-за ливня экскурсию перенесли на неопределенное время. (заменить)|срок
В центре парка возвели красивый фонтан. (заменить)|воздвигли
За годы работы между ними завязалось знакомство. (заменить)|дружба
Эта деталь играет важную функцию в моторе. (заменить)|выполняет
В развитии науки внезапно возник регресс. (заменить)|наступил
Новые машины помогают улучшить урожай зерна. (заменить)|повысить
Эта рукопись имеет огромную роль для историков. (заменить)|играет
Комиссия собралась, чтобы основать новые правила. (заменить)|принять
Перед мужеством врачей мы преклоняем головы. (заменить)|склоняем
Атлет упорно тренировался, чтобы одержать лидерство. (заменить)|завоевать
После долгих усилий компания одержала успех. (заменить)|добилась
Милый щенок причинил детям огромную радость. (заменить)|доставил
Этот поступок может сделать вред репутации. (заменить)|нанести
Преподаватель старался уделить максимум значения теории. (заменить)|внимания
Мы обязаны постоянно обращать заботу о родителях. (заменить)|проявлять
Новый регламент должен официально встать в силу. (заменить)|вступить
В этом споре правда обязательно одержит верх. (заменить)|возьмет
Не нужно отчаиваться и вешать голову. (заменить)|нос
Торговец кричал во все горло на базаре. (заменить)|голос
Все эти пустые слухи не стоят выеденного гроша. (заменить)|яйца
Завистливый сосед давно точит на нас обиду. (заменить)|зуб
Чтобы спасти проект, менеджеру пришлось взять быка за хвост. (заменить)|рога
Враги постоянно пытались вставлять палки в наши дела. (заменить)|колеса
В трудной ситуации нужно держать ухо открытым. (заменить)|востро
Коварный предатель лицемерно проливал крокодиловы чувства. (заменить)|слезы
Этот богатый артист привык жить на широкую руку. (заменить)|ногу
Доверчивый покупатель снова купил кота в пакете. (заменить)|мешке
После неудачи министр решил умывать лицо. (заменить)|руки
Хватит ходить вокруг да сторон, переходи к главному. (заменить)|около
Не стоит делать из мелкой мухи крупного комара. (заменить)|слона
Испуганный пес бежал по улице сломя ноги. (заменить)|голову
Ленивый строитель работал весь день спустя пальцы. (заменить)|рукава
Перестань тянуть собаку за хвост, говори суть. (заменить)|кота
Своими злыми шутками он только подлил бензина в огонь. (заменить)|масла
Эти два обманщика были одного поля овощи. (заменить)|ягода
Наша фирма смогла заключить новые рыночные рубежи. (заменить)|завоевать
Книга произвела огромное влияние на мое мировоззрение. (заменить)|оказала
В начале книги автор приводит краткое введение. (исключить)|краткое
Нам необходимо взаимно помогать друг другу в беде. (исключить)|взаимно
Мой брат решил написать свою автобиографию. (исключить)|свою
В этой компании сейчас есть одна свободная вакансия. (исключить)|свободная
Покупателям представили обновленный прейскурант цен. (исключить)|цен
Из поездки он привез мне памятный сувенир. (исключить)|памятный
Обернувшись назад, он увидел старого знакомого. (исключить)|назад
Дизайнер разработал стильный внутренний интерьер офиса. (исключить)|внутренний
Этот спортсмен по праву считается ведущим лидером гонки. (исключить)|ведущим
Собрание акционеров назначено на май месяц. (исключить)|месяц
На презентации всем раздавали бесплатные подарки. (исключить)|бесплатные
Нам удалось восстановить прежний статус-кво в переговорах. (исключить)|прежний
Подводная лодка начала медленно погружаться вниз. (исключить)|вниз
Главная суть его выступления сводилась к одному тезису. (исключить)|главная
Погода преподнесла нам неожиданный сюрприз в виде снега. (исключить)|неожиданный
В тексте договора обнаружился скрытый подтекст. (исключить)|скрытый
Это был самый оптимальный вариант решения проблемы. (исключить)|самый
Промышленная индустрия региона развивается быстрыми темпами. (исключить)|промышленная
Все ученики быстро поднялись вверх по лестнице. (исключить)|вверх
Мы поднялись вверх на самый верхний этаж. (исключить)вверх
Он спустился вниз в темный подвал. (исключить)|вниз
Вчера состоялся первый дебют молодого музыканта. (исключить)|первый
Друзья всегда взаимно помогали друг другу. (исключить)|взаимно
В апреле месяце обычно начинается сильное половодье. (исключить)|месяце
Известный писатель уже закончил свою автобиографию. (исключить)|свою
Нам выдали совершенно новый прейскурант цен. (исключить)|цен
Турист привез из Парижа памятный сувенир. (исключить)|памятный
Обернувшись назад, прохожий никого не увидел. (исключить)|назад
Архитектор тщательно продумал внутренний интерьер дома. (исключить)|внутренний
Этот опытный спортсмен считается ведущим лидером. (исключить)|ведущим
На главной площади возвели монументальный памятник. (исключить)|монументальный
Ученые зафиксировали этот редкий и необычный феномен. (исключить)|необычный
Промышленная индустрия региона развивается быстрыми темпами. (исключить)|промышленная
Это был самый оптимальный путь решения проблемы. (исключить)|самый
В тексте соглашения обнаружился скрытый тайный подтекст. (исключить)|тайный
Погода преподнесла нам неожиданный сюрприз утром. (исключить)|неожиданный
Тяжелая подводная лодка медленно погрузилась вниз. (исключить)|вниз
Главная суть его долгого выступления была понятна. (исключить)|главная
Дипломатам удалось полностью восстановить прежний статус-кво. (исключить)|прежний
Всем участникам конференции раздали бесплатные подарки. (исключить)|бесплатные
Мы заранее предчувствовали скорый провал этого плана. (исключить)|заранее
Докладчик повторил свой важный вопрос еще раз повторно. (исключить)|повторно
Осенью птицы улетают в теплые края на юг. (исключить)|на юг
Нас ждет прекрасное будущее перспективное развитие компании. (исключить)|будущее
Расскажи мне всю истинную правду о случившемся. (исключить)|истинную
Художник быстро сделал первый эскизный набросок. (исключить)|эскизный
Жители города объединились вместе против общей угрозы. (исключить)|вместе
Испуганный прохожий побежал бегом от собаки. (исключить)|бегом
В коробке лежал абсолютно круглый шар из стекла. (исключить)|круглый
Историк расположил все важные события в хронологическом порядке времени. (исключить)|времени
На фестивале мы изучали местный народный фольклор. (исключить)|народный
На таможне задержали импортные товары из-за рубежа. (исключить)|из-за рубежа
Этот амбициозный проект потерпел полное фиаско. (исключить)|полное
Пожилой старик медленно шел по аллее парка. (исключить)|пожилой
Молодая девушка приветливо улыбнулась вошедшим гостям. (исключить)|молодая
Это был действительно очень уникальный экземпляр книги. (исключить)|очень
Врач порекомендовал провести защитную профилактику гриппа. (исключить)|защитную
Археологи обнаружили в пещере ценные сокровища. (исключить)|ценные
На радиостанции передали краткую лаконичную сводку новостей. (исключить)|краткую
Все присутствующие гости дружно зааплодировали артистам. (исключить)|присутствующие
Зимой речная вода превратилась в холодный лед. (исключить)|холодный
Дрова в камине горели ярким горячим огнем. (исключить)|горячим
Путешественник шел по лесной тропинке пешком. (исключить)|пешком
Заблудившиеся путники долго шли по темному мраку. (исключить)|темному
В конце месяца мы должны подвести окончательные итоги. (исключить)|окончательные
На столе стоял кувшин с чистой жидкой водой. (исключить)|жидкой
Автор статьи выразил свое личное мнение по вопросу. (исключить)|личное
Отдел кадров пытается закрыть одну пустую вакансию. (исключить)|пустую
Капитан сделал один уверенный шаг вперед перед собой. (исключить)|перед собой
Этот надежный станок имеет долгий срок времени службы. (исключить)|времени
Молодой боец проявил истинный патриотизм к родине. (исключить)|к родине
Служба безопасности обеспечивает тотальный стопроцентный контроль. (исключить)|тотальный
Из темноты раздался громкий пронзительный крик голоса. (исключить)|голоса
Данный тезис составляет главную базовую основу теории. (исключить)|базовая
Инженер начертил схематичный план будущей конструкции. (исключить)|схематичный
Стороны заключили обоюдное взаимное соглашение между собой. (исключить)|между собой
В лавке всегда можно купить свежую зелень трав. (исключить)|трав
Люди переходили улицу по наземному переходу. (исключить)|наземному
Старые друзья встретились в вечернее время суток. (исключить)|суток
Это прогрессивное движение вперед заметно всем. (исключить)|вперед
Генерал спланировал хитрый тактический маневр войсками. (исключить)|войсками
В фильме использовались отличные звуковые аудиоэффекты. (исключить)|звуковые
Он написал это заявление собственноручно своими руками. (исключить)|своими руками
В старой лавке продавался редкий старинный раритет. (исключить)|старинный
Покупка дорогой машины стала для них ненужной роскошью. (исключить)|ненужной
Все туристы зашли внутрь салона автобуса. (исключить)|внутрь
Старик долго вспоминал свои прошлые воспоминания молодости. (исключить)|прошлые
За быструю работу программист получил дополнительный бонус. (исключить)|дополнительный
Автомобиль на скорости врезался в неподвижный столб. (исключить)|неподвижный
Это реальная действительность, с которой надо смириться. (исключить)|реальная
Мы надеемся на плодотворное совместное сотрудничество с вами. (исключить)|совместное
Из-за невнимательности студент совершил глупую неумную ошибку. (исключить)|неумную
Посреди поляны рос огромный великан-дуб. (исключить)|огромный
Вода в большом котле кипела бурным кипятком. (исключить)|бурным
Счастье длилось лишь один краткий миг секунды. (исключить)|секунды
В докладе содержатся заведомо ложные измышления конкурентов. (исключить)|ложные
Предприятие переходит на новый инновационный путь развития. (исключить)|новый
На улице со вчерашнего дня идет проливной ливень. (исключить)|проливной
Наш новый директор имеет огромный большой опыт управления. (исключить)|большой
Это была совершенно неожиданная внезапная встреча в метро. (исключить)|неожиданная
Мы составили подробный план работы на будущее время. (исключить)|время
В углу комнаты стояла целая куча ненужного хлама. (исключить)|целая
После звонка в классе наступила полная абсолютная тишина. (исключить)|полная
Маленький ребенок нарисовал неровный круглый круг. (исключить)|круглый
В ночном небе мы увидели яркие сверкающие искры. (исключить)|сверкающие
Спортсмен подпрыгнул высоко вверх на гимнастическом батуте. (исключить)|вверх
Бабушка рассказала нам интересную сказку из прошлого. (исключить)|из прошлого
Страны наконец-то подписали мирный договор о мире. (исключить)|о мире
Из лесной глуши доносилось далекое эхо издалека. (исключить)|издалека
Это была наша главная конечная цель путешествия. (исключить)|главная
Эксперты провели точный хронометраж времени сборки деталей. (исключить)|времени
Малыш весело рассмеялся громким заливистым смехом. (исключить)|смехом
Мой дедушка — ветеран прошедшей старой войны. (исключить)|старой
В магазине была представлена широкая палитра разных красок. (исключить)|разных
Мы открыли окно, чтобы впустить свежий воздух снаружи. (исключить)|снаружи
Эта деталь является важной составляющей частью механизма. (исключить)|частью
Вокруг старого здания был построен защитный оборонительный вал. (исключить)|защитный
В этой статье изложены основные главные тезисы работы. (исключить)|главные
Коллеги пожали друг другу руки в знак взаимного согласия. (исключить)|взаимного
